1 0	0	0	0
2 0	0	0	0
3 0	0	0	0
4 0	0	0	0
5 138052	0	302942	46517
6 253932	173640	225440	214876
7 191812	168236	94783	166735
8 136797	109856	122690	131495
9 106474	136989	120493	130162
10 128596	184122	224306	144332
11 213396	210248	226616	177483
12 217322	199914	140428	210157
13 293920	68116	294208	133458
14 111970	297635	142327	239547
15 249085	71630	275047	29207
16 251015	20028	149054	151308
17 25068	270054	12055	212301
18 74377	145833	152580	96969
19 180442	80839	230804	81147
20 305420	24421	323923	4835
21 270338	108694	120434	243059
22 13783	309746	138906	293760
23 205954	150822	185050	38727
24 351618	12513	373461	103663
25 150408	249312	34940	349620
26 80961	257647	124080	85414
27 186926	84444	197575	128417
28 77406	156107	273	206957
29 16464	170479	70088	76851
30 103325	106633	50727	241105
31 32067	302021	149115	166468
32 119392	119480	57188	222802
33 138494	191180	83007	147629
34 103003	261116	102548	264421
35 3446	233751	50135	220345
36 109306	151443	67828	224024
37 26329	240863	90835	173410
38 145130	104478	111148	131454
39 49902	257806	40760	266471
40 84901	312732	194699	207995
41 214384	105446	93844	213788
42 21460	290188	33633	364765
43 71028	351870	222918	193647
44 216674	76247	39375	165745
45 144	208602	35493	145114
46 94085	144905	95178	181807
47 152936	142939	150271	36710
48 102066	76329	138202	193916
49 156020	117334	166635	135
50 130859	61863	146111	85356
51 257302	24750	234819	56548
52 210969	120314	222020	64502
53 217516	44385	188619	88291
54 180480	44342	195360	134
55 148350	65849	179756	84511
56 253231	18288	288084	143
57 200396	54171	95502	138909
58 241963	85597	309946	140
59 210636	62	207127	10649
60 130217	86666	43141	210912
61 235265	133222	444773	248
62 409202	324	360098	9127
63 204207	106529	48186	240735
64 151629	199251	333227	57682
65 403321	0	251367	17627
66 135190	61266	200503	45092
67 266572	0	197020	90214
68 125423	92773	153804	1525
69 118312	0	150749	15405
70 211620	142240	166513	127185
71 292439	40109	325474	160913
72 273790	120846	402768	63
73 366199	64	457537	0
74 416878	0	271433	67
75 420945	67	471764	0
76 357348	0	266282	0
77 361558	72	395116	145
78 291903	72	371109	0
79 452218	0	369369	0
